id_cliente,endereco_cliente,regiao,latitude,longitude,tipo_servico_demandado,frequencia_demanda,valor_estimado_servico,veiculo,ano_veiculo
26,"Rua da Consolação, 1501 - Jardins, São Paulo - SP",Jardins,-23.579150684663986,-46.657422285029135,Troca de Óleo,Mensal,826.76,Land Rover Evoque,2024
27,"Av. Paulista, 1957 - Jardins, São Paulo - SP",Jardins,-23.568362283826033,-46.68082670585226,Motor,Mensal,849.23,Mercedes-Benz C180,2018
28,"Av. Sumaré, 1286 - Jardins, São Paulo - SP",Jardins,-23.572906312704966,-46.67920399099127,Freios,Anual,784.06,Toyota Corolla,2019
29,"Rua Augusta, 1947 - Jardins, São Paulo - SP",Jardins,-23.542041390366343,-46.67233925914032,Pintura,Semestral,628.06,Jeep Renegade,2018
30,"Av. Sumaré, 1719 - Jardins, São Paulo - SP",Jardins,-23.563598701184254,-46.67147474293683,Suspensão,Anual,660.75,Mercedes-Benz C180,2023
31,"Rua da Consolação, 1320 - Jardins, São Paulo - SP",Jardins,-23.553675026899292,-46.686137489686054,Pintura,Anual,969.51,Audi A3,2025
32,"Rua da Consolação, 1150 - Jardins, São Paulo - SP",Jardins,-23.55580788809852,-46.644679705046244,Motor,Trimestral,562.73,Land Rover Evoque,2024
33,"Av. Santo Amaro, 1540 - Jardins, São Paulo - SP",Jardins,-23.592136342438838,-46.67158891515806,Alinhamento,Trimestral,679.07,Volvo XC40,2021
34,"Av. Sumaré, 1287 - Jardins, São Paulo - SP",Jardins,-23.567916226793628,-46.67611772109474,Ar Condicionado,Anual,680.8,Audi A3,2018
35,"Rua Vergueiro, 1444 - Jardins, São Paulo - SP",Jardins,-23.58103804628186,-46.67373433633436,Freios,Trimestral,516.27,Audi A3,2021
36,"Av. Santo Amaro, 359 - Jardins, São Paulo - SP",Jardins,-23.565497512816794,-46.678195455517965,Freios,Mensal,983.21,Mercedes-Benz C180,2022
37,"Av. Ibirapuera, 652 - Jardins, São Paulo - SP",Jardins,-23.568539540388855,-46.670728293322675,Troca de Óleo,Anual,651.81,Toyota Corolla,2019
38,"Rua Teodoro Sampaio, 1997 - Jardins, São Paulo - SP",Jardins,-23.56478836155593,-46.67034127484965,Elétrica,Anual,686.88,Toyota Corolla,2019
39,"Av. Rebouças, 805 - Jardins, São Paulo - SP",Jardins,-23.556932900149903,-46.67379161028247,Suspensão,Semestral,527.92,Mercedes-Benz C180,2021
40,"Rua Pamplona, 1133 - Jardins, São Paulo - SP",Jardins,-23.536459726486182,-46.681014187293435,Balanceamento,Anual,974.28,Volvo XC40,2019
41,"Rua Augusta, 1112 - Jardins, São Paulo - SP",Jardins,-23.57144027309954,-46.68640949079958,Ar Condicionado,Mensal,749.94,BMW 320i,2020
42,"Av. Rebouças, 1455 - Jardins, São Paulo - SP",Jardins,-23.569500113792227,-46.67238062787898,Suspensão,Semestral,662.4,Renault Kwid,2019
43,"Av. Brigadeiro Faria Lima, 340 - Jardins, São Paulo - SP",Jardins,-23.572621688392815,-46.6583299236133,Motor,Trimestral,529.86,BMW 320i,2021
44,"Av. Rebouças, 520 - Jardins, São Paulo - SP",Jardins,-23.579613049679256,-46.65933668261219,Funilaria,Mensal,501.32,Land Rover Evoque,2020
45,"Av. Rebouças, 1424 - Jardins, São Paulo - SP",Jardins,-23.558882102223293,-46.673943410660925,Alinhamento,Semestral,665.24,Ford Focus,2018
46,"Rua Vergueiro, 846 - Jardins, São Paulo - SP",Jardins,-23.56428360161766,-46.667128710509665,Elétrica,Trimestral,627.67,BMW 320i,2025
47,"Rua da Consolação, 895 - Jardins, São Paulo - SP",Jardins,-23.569868473154102,-46.649100212719645,Elétrica,Anual,873.56,Chevrolet Onix,2020
48,"Av. Santo Amaro, 326 - Jardins, São Paulo - SP",Jardins,-23.582843296542737,-46.66861101201127,Freios,Semestral,969.36,Volkswagen Golf,2025
49,"Av. Ibirapuera, 1462 - Jardins, São Paulo - SP",Jardins,-23.575424655898907,-46.65303479756731,Ar Condicionado,Mensal,869.9,Land Rover Evoque,2020
50,"Rua da Consolação, 544 - Jardins, São Paulo - SP",Jardins,-23.568852570157443,-46.65946137026889,Motor,Trimestral,605.78,Mercedes-Benz C180,2020
51,"Av. Ibirapuera, 1517 - Jardins, São Paulo - SP",Jardins,-23.55776974855603,-46.67211859021557,Motor,Mensal,603.28,Honda Civic,2020
52,"Av. Santo Amaro, 1148 - Jardins, São Paulo - SP",Jardins,-23.580486434386145,-46.64992730275086,Suspensão,Mensal,577.74,Land Rover Evoque,2022
53,"Rua Oscar Freire, 1235 - Jardins, São Paulo - SP",Jardins,-23.557158591518085,-46.6889903428847,Elétrica,Mensal,857.02,Renault Kwid,2020
54,"Rua Oscar Freire, 1115 - Jardins, São Paulo - SP",Jardins,-23.571403523459537,-46.65896219780754,Pintura,Semestral,780.25,Audi A3,2021
55,"Rua Pamplona, 122 - Jardins, São Paulo - SP",Jardins,-23.560975887351912,-46.67205402153653,Balanceamento,Anual,778.47,Land Rover Evoque,2022
56,"Rua Augusta, 1908 - Jardins, São Paulo - SP",Jardins,-23.567235159031345,-46.669472276564576,Ar Condicionado,Semestral,639.32,Chevrolet Onix,2025
57,"Rua Vergueiro, 293 - Jardins, São Paulo - SP",Jardins,-23.580446304418725,-46.65742695236796,Funilaria,Semestral,683.27,Mercedes-Benz C180,2021
58,"Av. Brigadeiro Faria Lima, 393 - Jardins, São Paulo - SP",Jardins,-23.578848017904463,-46.66811637594881,Balanceamento,Trimestral,781.94,Fiat Argo,2019
59,"Rua Teodoro Sampaio, 1210 - Jardins, São Paulo - SP",Jardins,-23.559451598990684,-46.667112111647,Ar Condicionado,Mensal,975.61,Nissan Kicks,2021
60,"Av. Ibirapuera, 486 - Jardins, São Paulo - SP",Jardins,-23.570790942830385,-46.66706767965066,Balanceamento,Trimestral,502.41,Mercedes-Benz C180,2019
61,"Av. Santo Amaro, 814 - Jardins, São Paulo - SP",Jardins,-23.57246555005426,-46.67545334562581,Pintura,Mensal,925.97,Audi A3,2023
62,"Rua Vergueiro, 1306 - Jardins, São Paulo - SP",Jardins,-23.564020283472107,-46.68466281165154,Pintura,Trimestral,782.9,Ford Focus,2021
63,"Rua Teodoro Sampaio, 1110 - Jardins, São Paulo - SP",Jardins,-23.5706798321042,-46.69623404273811,Alinhamento,Mensal,545.29,Mercedes-Benz C180,2023
64,"Av. Ibirapuera, 1541 - Jardins, São Paulo - SP",Jardins,-23.57471983402315,-46.657358324819434,Suspensão,Semestral,609.06,Volvo XC40,2021
65,"Av. Sumaré, 849 - Jardins, São Paulo - SP",Jardins,-23.580743238695675,-46.683020979643736,Balanceamento,Trimestral,777.55,Mercedes-Benz C180,2023
66,"Av. Rebouças, 1112 - Jardins, São Paulo - SP",Jardins,-23.571173985899797,-46.68598653476957,Motor,Mensal,776.03,Volkswagen Golf,2021
67,"Rua Oscar Freire, 1219 - Jardins, São Paulo - SP",Jardins,-23.57250045222378,-46.66921791996228,Alinhamento,Semestral,825.75,Chevrolet Onix,2021
68,"Rua Augusta, 1331 - Jardins, São Paulo - SP",Jardins,-23.570470993153773,-46.676971023960675,Balanceamento,Semestral,951.95,Jeep Renegade,2018
69,"Av. Sumaré, 706 - Jardins, São Paulo - SP",Jardins,-23.55286695481341,-46.657902296387455,Pintura,Semestral,918.09,Volvo XC40,2021
70,"Rua Vergueiro, 632 - Jardins, São Paulo - SP",Jardins,-23.55759562213082,-46.69325768012762,Pintura,Anual,516.51,Audi A3,2018
71,"Rua da Consolação, 1222 - Jardins, São Paulo - SP",Jardins,-23.584492442640823,-46.6698796172875,Motor,Semestral,855.44,Nissan Kicks,2022
72,"Av. Brigadeiro Faria Lima, 1058 - Jardins, São Paulo - SP",Jardins,-23.559969561256704,-46.67452709431609,Suspensão,Semestral,757.71,BMW 320i,2023
73,"Rua Augusta, 1407 - Jardins, São Paulo - SP",Jardins,-23.564884769745277,-46.648079157233006,Alinhamento,Mensal,615.58,Volvo XC40,2022
74,"Rua Augusta, 1657 - Jardins, São Paulo - SP",Jardins,-23.557652323219937,-46.66828833198456,Suspensão,Anual,732.23,Chevrolet Onix,2021
75,"Rua da Consolação, 1053 - Jardins, São Paulo - SP",Jardins,-23.57423092186572,-46.6792314328268,Freios,Semestral,788.79,Volvo XC40,2020
76,"Av. Brigadeiro Faria Lima, 1501 - Jardins, São Paulo - SP",Jardins,-23.596942299999768,-46.669041030405644,Ar Condicionado,Mensal,882.58,Volvo XC40,2022
77,"Av. Rebouças, 1722 - Jardins, São Paulo - SP",Jardins,-23.560205190002232,-46.675646879903994,Balanceamento,Anual,722.36,Nissan Kicks,2024
78,"Rua Teodoro Sampaio, 1013 - Jardins, São Paulo - SP",Jardins,-23.564344580665296,-46.68129881864767,Balanceamento,Anual,818.51,BMW 320i,2020
79,"Av. Sumaré, 1281 - Jardins, São Paulo - SP",Jardins,-23.582848695695894,-46.68428841889973,Balanceamento,Mensal,881.18,Volvo XC40,2021
80,"Rua Pamplona, 1962 - Jardins, São Paulo - SP",Jardins,-23.55515349621576,-46.67576282024847,Alinhamento,Mensal,817.35,BMW 320i,2020
81,"Rua Augusta, 483 - Jardins, São Paulo - SP",Jardins,-23.57097927406891,-46.67858793960771,Pintura,Semestral,767.19,Volvo XC40,2022
82,"Av. Ibirapuera, 211 - Jardins, São Paulo - SP",Jardins,-23.57662692766529,-46.671574448226885,Balanceamento,Anual,754.62,Chevrolet Onix,2019
83,"Rua da Consolação, 1849 - Jardins, São Paulo - SP",Jardins,-23.560913269966274,-46.66356421023973,Balanceamento,Anual,550.2,Mercedes-Benz C180,2018
84,"Av. Sumaré, 1652 - Jardins, São Paulo - SP",Jardins,-23.577999892111972,-46.66873113502635,Ar Condicionado,Trimestral,991.26,Land Rover Evoque,2022
85,"Av. Brigadeiro Faria Lima, 1557 - Jardins, São Paulo - SP",Jardins,-23.55653968232074,-46.6720552654118,Motor,Mensal,893.86,Chevrolet Onix,2018
86,"Av. Brigadeiro Faria Lima, 1118 - Jardins, São Paulo - SP",Jardins,-23.567188846747456,-46.66754689269589,Balanceamento,Mensal,761.68,Mercedes-Benz C180,2024
87,"Rua Augusta, 1552 - Jardins, São Paulo - SP",Jardins,-23.581564326716062,-46.66032684112261,Pintura,Mensal,605.84,Audi A3,2024
88,"Rua Pamplona, 755 - Jardins, São Paulo - SP",Jardins,-23.56813892974577,-46.65796954353233,Suspensão,Mensal,625.9,Land Rover Evoque,2021
89,"Rua Augusta, 1330 - Jardins, São Paulo - SP",Jardins,-23.5709661146046,-46.66941107603414,Elétrica,Anual,532.1,Toyota Corolla,2025
90,"Rua da Consolação, 1944 - Jardins, São Paulo - SP",Jardins,-23.57327636910327,-46.681715215959635,Motor,Trimestral,656.52,BMW 320i,2018
91,"Av. Ibirapuera, 430 - Jardins, São Paulo - SP",Jardins,-23.55962943944533,-46.67096964914567,Alinhamento,Anual,914.48,Land Rover Evoque,2019
92,"Rua Oscar Freire, 934 - Jardins, São Paulo - SP",Jardins,-23.570480954114668,-46.666632645799616,Funilaria,Mensal,768.61,Volvo XC40,2018
93,"Av. Rebouças, 702 - Jardins, São Paulo - SP",Jardins,-23.541759234217515,-46.6666482519764,Suspensão,Anual,972.83,Volvo XC40,2024
94,"Rua Pamplona, 845 - Jardins, São Paulo - SP",Jardins,-23.54302460715453,-46.65272299010421,Alinhamento,Semestral,883.31,BMW 320i,2021
95,"Rua Augusta, 841 - Jardins, São Paulo - SP",Jardins,-23.567958982291636,-46.67323771519262,Alinhamento,Anual,779.39,Audi A3,2020
96,"Rua Oscar Freire, 1550 - Jardins, São Paulo - SP",Jardins,-23.570986325409685,-46.66768506935164,Funilaria,Trimestral,981.93,Volvo XC40,2019
97,"Rua Pamplona, 1698 - Jardins, São Paulo - SP",Jardins,-23.564990328571533,-46.666806551790486,Alinhamento,Trimestral,597.19,Mercedes-Benz C180,2019
98,"Av. Sumaré, 255 - Jardins, São Paulo - SP",Jardins,-23.56407743943702,-46.68222299410327,Elétrica,Mensal,720.27,Renault Kwid,2025
99,"Av. Santo Amaro, 1533 - Jardins, São Paulo - SP",Jardins,-23.560227517180238,-46.66526990648725,Pintura,Semestral,789.63,Audi A3,2018
100,"Rua Oscar Freire, 1863 - Jardins, São Paulo - SP",Jardins,-23.576508734554096,-46.67612904429853,Troca de Óleo,Semestral,906.43,Toyota Corolla,2025
101,"Av. Rebouças, 968 - Jardins, São Paulo - SP",Jardins,-23.554395675238826,-46.66685622121186,Motor,Anual,685.22,Volvo XC40,2025
102,"Av. Rebouças, 861 - Jardins, São Paulo - SP",Jardins,-23.569496868489825,-46.66970580127553,Pintura,Mensal,778.73,Mercedes-Benz C180,2020
103,"Rua Pamplona, 1081 - Jardins, São Paulo - SP",Jardins,-23.58672857677651,-46.66515904259342,Motor,Anual,649.16,Land Rover Evoque,2021
104,"Av. Ibirapuera, 1555 - Jardins, São Paulo - SP",Jardins,-23.57884530066989,-46.68992011504533,Alinhamento,Mensal,617.16,Volvo XC40,2020
105,"Rua Oscar Freire, 194 - Jardins, São Paulo - SP",Jardins,-23.57044615456592,-46.663295628978595,Funilaria,Mensal,619.65,Volkswagen Golf,2019
106,"Av. Paulista, 1303 - Jardins, São Paulo - SP",Jardins,-23.575392536436386,-46.66620200854689,Pintura,Anual,982.25,Land Rover Evoque,2018
107,"Rua Oscar Freire, 1488 - Jardins, São Paulo - SP",Jardins,-23.567568891393023,-46.68100682104279,Freios,Semestral,811.14,Chevrolet Onix,2018
108,"Rua Teodoro Sampaio, 102 - Jardins, São Paulo - SP",Jardins,-23.561331843687174,-46.66381256105797,Freios,Anual,626.4,Audi A3,2021
109,"Av. Sumaré, 1313 - Jardins, São Paulo - SP",Jardins,-23.57457185743164,-46.67802694999236,Motor,Mensal,682.63,Renault Kwid,2018
110,"Rua Teodoro Sampaio, 336 - Jardins, São Paulo - SP",Jardins,-23.55764941175505,-46.66079362992433,Troca de Óleo,Trimestral,713.01,Fiat Argo,2023
111,"Rua Teodoro Sampaio, 1013 - Jardins, São Paulo - SP",Jardins,-23.562253777589028,-46.665615615078636,Funilaria,Anual,763.22,Volkswagen Golf,2020
112,"Rua Pamplona, 1406 - Jardins, São Paulo - SP",Jardins,-23.57663472632035,-46.66838212074143,Suspensão,Semestral,535.51,Volvo XC40,2024
113,"Rua Oscar Freire, 1467 - Jardins, São Paulo - SP",Jardins,-23.582576036220388,-46.661467504308526,Ar Condicionado,Semestral,770.87,Chevrolet Onix,2019
114,"Rua da Consolação, 1043 - Jardins, São Paulo - SP",Jardins,-23.57445004772562,-46.672861447315114,Suspensão,Trimestral,873.29,Audi A3,2020
115,"Av. Santo Amaro, 524 - Jardins, São Paulo - SP",Jardins,-23.568879827524704,-46.69317572611415,Freios,Semestral,558.64,Mercedes-Benz C180,2024
116,"Av. Paulista, 1013 - Jardins, São Paulo - SP",Jardins,-23.561457550208683,-46.66355267482823,Suspensão,Anual,687.63,BMW 320i,2022
117,"Rua Teodoro Sampaio, 1769 - Jardins, São Paulo - SP",Jardins,-23.572735738506868,-46.657757220838995,Pintura,Semestral,620.7,BMW 320i,2022
118,"Rua Oscar Freire, 709 - Jardins, São Paulo - SP",Jardins,-23.575750341425334,-46.675312348194446,Motor,Semestral,675.48,Volvo XC40,2022
119,"Av. Sumaré, 1027 - Jardins, São Paulo - SP",Jardins,-23.55932376901734,-46.65947002792879,Freios,Anual,752.31,Ford Focus,2023
120,"Rua da Consolação, 1081 - Jardins, São Paulo - SP",Jardins,-23.567170678633293,-46.67295061931853,Funilaria,Semestral,584.54,BMW 320i,2023
121,"Av. Santo Amaro, 680 - Jardins, São Paulo - SP",Jardins,-23.5563929309192,-46.67533428354519,Ar Condicionado,Mensal,593.29,Honda Civic,2018
122,"Av. Brigadeiro Faria Lima, 1839 - Jardins, São Paulo - SP",Jardins,-23.557878132544523,-46.66669625669789,Pintura,Mensal,604.81,Volvo XC40,2025
123,"Rua Augusta, 1842 - Jardins, São Paulo - SP",Jardins,-23.58356754443786,-46.667280880845695,Pintura,Anual,706.23,Chevrolet Onix,2024
124,"Rua Pamplona, 1126 - Jardins, São Paulo - SP",Jardins,-23.551508292933544,-46.66851778157876,Funilaria,Anual,589.39,Fiat Argo,2024
125,"Rua Pamplona, 1444 - Jardins, São Paulo - SP",Jardins,-23.57430716361848,-46.65901538344021,Balanceamento,Anual,776.96,Renault Kwid,2024
126,"Rua Oscar Freire, 1113 - Jardins, São Paulo - SP",Jardins,-23.55205043747984,-46.67999565970588,Elétrica,Mensal,639.52,Volkswagen Golf,2025
127,"Av. Sumaré, 500 - Jardins, São Paulo - SP",Jardins,-23.590429426851397,-46.67845620515209,Funilaria,Mensal,863.51,Volkswagen Golf,2022
128,"Rua da Consolação, 906 - Jardins, São Paulo - SP",Jardins,-23.562611284066776,-46.67539399556941,Alinhamento,Mensal,711.34,Ford Focus,2021
129,"Rua Pamplona, 219 - Jardins, São Paulo - SP",Jardins,-23.55275909699261,-46.662968958950124,Motor,Semestral,510.56,Toyota Corolla,2019
130,"Av. Paulista, 1090 - Jardins, São Paulo - SP",Jardins,-23.545476173327305,-46.68248171495607,Ar Condicionado,Mensal,920.59,Toyota Corolla,2025
131,"Rua Vergueiro, 730 - Jardins, São Paulo - SP",Jardins,-23.556063311432936,-46.67706918715179,Elétrica,Anual,562.88,Hyundai HB20,2025
132,"Av. Rebouças, 1440 - Jardins, São Paulo - SP",Jardins,-23.568632977610935,-46.664653146305085,Suspensão,Anual,679.83,Mercedes-Benz C180,2024
133,"Rua Teodoro Sampaio, 1296 - Jardins, São Paulo - SP",Jardins,-23.56997000217431,-46.64889277765194,Motor,Anual,749.87,Honda Civic,2022
134,"Rua Oscar Freire, 1273 - Jardins, São Paulo - SP",Jardins,-23.56243665379237,-46.66042904405231,Elétrica,Trimestral,874.92,Audi A3,2019
135,"Rua Pamplona, 792 - Jardins, São Paulo - SP",Jardins,-23.581618983912435,-46.67016484693481,Motor,Mensal,651.19,Volkswagen Golf,2021
136,"Av. Brigadeiro Faria Lima, 1189 - Jardins, São Paulo - SP",Jardins,-23.571067197427812,-46.678386151683355,Balanceamento,Semestral,543.01,Chevrolet Onix,2018
137,"Rua Teodoro Sampaio, 786 - Jardins, São Paulo - SP",Jardins,-23.56287746175951,-46.68071042431284,Freios,Trimestral,815.53,Mercedes-Benz C180,2024
138,"Av. Paulista, 1250 - Jardins, São Paulo - SP",Jardins,-23.558354182688138,-46.67837363573826,Pintura,Mensal,505.75,BMW 320i,2018
139,"Av. Rebouças, 974 - Jardins, São Paulo - SP",Jardins,-23.562142893826152,-46.67351678791314,Alinhamento,Semestral,634.11,Jeep Renegade,2024
140,"Av. Rebouças, 647 - Jardins, São Paulo - SP",Jardins,-23.561991606010327,-46.662450367050624,Elétrica,Mensal,889.74,Land Rover Evoque,2023
141,"Rua da Consolação, 1329 - Jardins, São Paulo - SP",Jardins,-23.550674555149087,-46.65485262434234,Balanceamento,Mensal,557.79,Audi A3,2023
142,"Av. Santo Amaro, 1935 - Jardins, São Paulo - SP",Jardins,-23.578299113225967,-46.67265703674723,Suspensão,Mensal,502.65,Nissan Kicks,2018
143,"Rua Teodoro Sampaio, 632 - Jardins, São Paulo - SP",Jardins,-23.56497508229945,-46.6629954174396,Ar Condicionado,Anual,544.2,Volvo XC40,2019
144,"Rua Vergueiro, 1902 - Jardins, São Paulo - SP",Jardins,-23.56437657616085,-46.67454302424947,Elétrica,Semestral,542.67,Fiat Argo,2025
145,"Av. Brigadeiro Faria Lima, 1816 - Jardins, São Paulo - SP",Jardins,-23.56337162923913,-46.65452869688141,Alinhamento,Semestral,531.53,Nissan Kicks,2025
146,"Av. Paulista, 153 - Jardins, São Paulo - SP",Jardins,-23.5743067711998,-46.683905046083076,Troca de Óleo,Anual,698.47,Audi A3,2022
147,"Rua Teodoro Sampaio, 942 - Jardins, São Paulo - SP",Jardins,-23.558741884556387,-46.67182561047684,Elétrica,Anual,788.69,Volvo XC40,2023
148,"Av. Santo Amaro, 422 - Jardins, São Paulo - SP",Jardins,-23.584398836054625,-46.66899273267626,Ar Condicionado,Mensal,864.86,Nissan Kicks,2020
149,"Av. Santo Amaro, 1952 - Jardins, São Paulo - SP",Jardins,-23.5470319680376,-46.65362708579934,Motor,Trimestral,523.57,Volvo XC40,2021
150,"Av. Brigadeiro Faria Lima, 605 - Jardins, São Paulo - SP",Jardins,-23.564973564170383,-46.655377414202405,Pintura,Trimestral,948.5,Land Rover Evoque,2020
151,"Rua da Consolação, 172 - Jardins, São Paulo - SP",Jardins,-23.56937275689399,-46.663480135348834,Pintura,Mensal,879.25,BMW 320i,2022
152,"Av. Rebouças, 1372 - Jardins, São Paulo - SP",Jardins,-23.568422618421785,-46.67363350873476,Troca de Óleo,Mensal,560.41,Renault Kwid,2024
153,"Av. Paulista, 1136 - Jardins, São Paulo - SP",Jardins,-23.5735384151489,-46.659700553662425,Pintura,Mensal,544.31,BMW 320i,2020
154,"Av. Brigadeiro Faria Lima, 128 - Jardins, São Paulo - SP",Jardins,-23.56133856448831,-46.67173121878962,Balanceamento,Semestral,971.88,Mercedes-Benz C180,2025
155,"Av. Brigadeiro Faria Lima, 134 - Jardins, São Paulo - SP",Jardins,-23.563980970963247,-46.6449742153147,Balanceamento,Semestral,792.81,Renault Kwid,2025
156,"Av. Santo Amaro, 383 - Jardins, São Paulo - SP",Jardins,-23.565643578294345,-46.663660714461884,Motor,Trimestral,884.98,Volvo XC40,2023
157,"Rua Oscar Freire, 1648 - Jardins, São Paulo - SP",Jardins,-23.586285314355166,-46.690723779195146,Funilaria,Anual,920.29,Jeep Renegade,2021
158,"Av. Sumaré, 1405 - Jardins, São Paulo - SP",Jardins,-23.55424504304986,-46.66480762873392,Suspensão,Anual,849.23,BMW 320i,2022
159,"Rua da Consolação, 354 - Jardins, São Paulo - SP",Jardins,-23.574112983557335,-46.66184077837962,Suspensão,Trimestral,874.81,Volkswagen Golf,2019
160,"Av. Santo Amaro, 897 - Jardins, São Paulo - SP",Jardins,-23.571392692751683,-46.66593769761531,Ar Condicionado,Semestral,970.24,Land Rover Evoque,2024
161,"Rua Vergueiro, 544 - Jardins, São Paulo - SP",Jardins,-23.551461301398827,-46.691434450802774,Alinhamento,Mensal,687.33,Ford Focus,2019
162,"Rua Teodoro Sampaio, 225 - Jardins, São Paulo - SP",Jardins,-23.55828445327319,-46.656130307904995,Alinhamento,Anual,602.99,Land Rover Evoque,2023
163,"Av. Brigadeiro Faria Lima, 328 - Jardins, São Paulo - SP",Jardins,-23.60151776957001,-46.68734276725029,Ar Condicionado,Semestral,643.7,Land Rover Evoque,2024
164,"Rua Teodoro Sampaio, 1195 - Jardins, São Paulo - SP",Jardins,-23.573561900742998,-46.67057480207814,Suspensão,Mensal,959.66,Hyundai HB20,2023
165,"Av. Paulista, 1735 - Jardins, São Paulo - SP",Jardins,-23.574653796323904,-46.659407326128886,Ar Condicionado,Semestral,776.99,Honda Civic,2023
166,"Av. Ibirapuera, 1856 - Jardins, São Paulo - SP",Jardins,-23.576028997340348,-46.66632214471229,Freios,Anual,810.93,Land Rover Evoque,2021
167,"Rua da Consolação, 1444 - Jardins, São Paulo - SP",Jardins,-23.53970507065694,-46.66841616786804,Balanceamento,Anual,917.48,Audi A3,2018
168,"Rua Pamplona, 1091 - Jardins, São Paulo - SP",Jardins,-23.567791377508886,-46.67352240279449,Suspensão,Mensal,656.73,Audi A3,2022
169,"Av. Sumaré, 1658 - Jardins, São Paulo - SP",Jardins,-23.570855015076596,-46.65211302682845,Suspensão,Anual,988.35,Toyota Corolla,2020
